Wall time,Step,Value
1662835740.0765388,0,1996.586669921875
1662835762.0769541,1,4221.7646484375
1662835784.70294,2,4336.72021484375
1662835810.364434,3,4576.9677734375
1662835832.288862,4,4351.279296875
1662835854.37601,5,4645.6826171875
1662835878.430846,6,4756.54931640625
1662835901.921372,7,4664.22802734375
1662835923.903703,8,4685.28369140625
1662835947.362368,9,4686.6806640625
1662835970.087431,10,4731.166015625
1662835992.732021,11,4701.80810546875
1662836015.240992,12,4808.69287109375
1662836037.680383,13,4670.701171875
1662836060.862577,14,4689.73046875
1662836083.6215198,15,4729.01171875
1662836107.144342,16,4575.9736328125
1662836129.9408169,17,4798.5732421875
1662836152.5953228,18,4583.412109375
1662836173.48513,19,4782.54638671875
1662836195.026528,20,4498.73095703125
1662836217.341033,21,4750.13427734375
1662836239.130661,22,4467.2353515625
1662836261.748251,23,4626.75048828125
1662836283.649384,24,4742.50537109375
