Wall time,Step,Value
1662835740.077038,0,1035.7156982421875
1662835762.0770419,1,333.2366027832031
1662835784.703192,2,560.5525512695312
1662835810.364525,3,108.4433364868164
1662835832.2896872,4,893.3483276367188
1662835854.3761091,5,250.3681640625
1662835878.430932,6,133.6107940673828
1662835901.921463,7,432.885986328125
1662835923.9037938,8,106.00447082519531
1662835947.3624709,9,334.46221923828125
1662835970.087764,10,402.0535888671875
1662835992.732329,11,303.9252014160156
1662836015.241079,12,118.67433166503906
1662836037.680814,13,216.50607299804688
1662836060.862667,14,434.9424743652344
1662836083.622079,15,342.49786376953125
1662836107.144487,16,639.8388671875
1662836129.940932,17,87.40708923339844
1662836152.595416,18,645.991943359375
1662836173.4852202,19,95.47807312011719
1662836195.0267808,20,723.6660766601562
1662836217.341126,21,110.31486511230469
1662836239.1308951,22,1047.0716552734375
1662836261.7484832,23,713.7926635742188
1662836283.6494741,24,126.12114715576172
