Wall time,Step,Value
1662838017.072866,0,2795.468994140625
1662838027.012516,1,3821.32373046875
1662838036.9101791,2,3939.67333984375
1662838046.7881489,3,4069.002685546875
1662838056.754664,4,3974.517822265625
1662838066.662455,5,3959.28857421875
1662838076.5389519,6,4048.861083984375
1662838086.383334,7,4028.3271484375
1662838096.306605,8,4120.216796875
1662838106.3463922,9,4032.1376953125
1662838116.3225589,10,4083.3046875
1662838126.217897,11,4064.401123046875
1662838136.207327,12,4005.212646484375
1662838146.119701,13,4112.8681640625
1662838155.9764879,14,4059.238525390625
1662838165.7921762,15,4030.433837890625
1662838175.6733692,16,4093.80517578125
1662838185.6035242,17,4032.38330078125
1662838195.4273732,18,3998.504638671875
1662838205.410557,19,4013.825439453125
1662838215.227595,20,4013.01123046875
1662838225.2556002,21,4071.242919921875
1662838235.050252,22,4085.670654296875
1662838244.8730571,23,4068.5693359375
1662838254.76283,24,4004.992919921875
