Name,Step,Evaluation Average Return
Vanilla,1,-69.24481964
Vanilla,2,-101.222229
Vanilla,3,-141.0822449
Vanilla,4,-86.7662735
Vanilla,5,-109.0200195
Vanilla,6,-130.7954712
Vanilla,7,-123.8478394
Vanilla,8,-93.93361664
Vanilla,9,-77.45250702
Vanilla,10,-111.8063736
Vanilla,11,-116.2610855
Vanilla,12,-83.1112442
Vanilla,13,-73.83595276
Vanilla,14,-58.29407883
Vanilla,15,-71.10326385
Vanilla,16,-83.46251678
Vanilla,17,-107.0332565
Vanilla,18,-40.92572021
Vanilla,19,-32.65474319
Vanilla,20,-54.44714355
Vanilla,21,-54.08272171
Vanilla,22,-60.3929863
Vanilla,23,-59.27862167
Vanilla,24,-54.31979752
Vanilla,25,-54.21840286
Vanilla,26,-47.13427353
Vanilla,27,-57.59881592
Vanilla,28,-41.04769135
Vanilla,29,-40.8050499
Vanilla,30,-42.06155777
Vanilla,31,-29.29651451
Vanilla,32,-44.31741333
Vanilla,33,-49.12785721
Vanilla,34,-41.91485214
Vanilla,35,-48.6766777
Vanilla,36,-37.97542953
Vanilla,37,-38.20861435
Vanilla,38,-43.81016541
Vanilla,39,-50.75199509
Vanilla,40,-28.22582817
Vanilla,41,-30.45160484
Vanilla,42,-14.50858021
Vanilla,43,-32.25192642
Vanilla,44,-8.423828125
Vanilla,45,-46.82067871
Vanilla,46,-22.47550964
Vanilla,47,-26.0815258
Vanilla,48,-38.73276901
Vanilla,49,-44.12678909
Vanilla,50,-49.47828293
Vanilla,51,-30.2471981
Vanilla,52,-23.40157318
Vanilla,53,-44.98568726
Vanilla,54,-42.18389511
Vanilla,55,-25.14700127
Vanilla,56,-3.094462633
Vanilla,57,-51.50291061
Vanilla,58,-2.962051153
Vanilla,59,-12.57361507
Vanilla,60,-9.754529953
Vanilla,61,-16.77466393
Vanilla,62,-18.69175529
Vanilla,63,-33.5106926
Vanilla,64,-6.242164612
Vanilla,65,-29.3120327
Vanilla,66,-1.023211122
Vanilla,67,-4.121210575
Vanilla,68,13.33291912
Vanilla,69,-1.301566482
