Lambda,Step,Evaluation Average Return
0.00,1,10.07440662
0.00,2,9.663416862
0.00,3,10.6732626
0.00,4,11.464571
0.00,5,16.47204208
0.00,6,11.12273312
0.00,7,12.24598408
0.00,8,11.02769184
0.00,9,14.24709511
0.00,10,13.25499153
0.00,11,12.09070969
0.00,12,12.71192932
0.00,13,16.71677208
0.00,14,16.36588669
0.00,15,25.30872345
0.00,16,13.77438068
0.00,17,14.6950779
0.00,18,18.21889114
0.00,19,15.66710186
0.00,20,14.28269291
0.00,21,18.71722984
0.00,22,16.80494499
0.00,23,20.10018539
0.00,24,20.82123375
0.00,25,13.64190769
0.00,26,12.67353725
0.00,27,22.87479019
0.00,28,16.05065918
0.00,29,16.9316864
0.00,30,21.12860489
0.00,31,20.04932785
0.00,32,14.75458717
0.00,33,27.92061615
0.00,34,20.24868584
0.00,35,22.25885582
0.00,36,18.86023331
0.00,37,23.51558304
0.00,38,19.79426384
0.00,39,24.33585358
0.00,40,19.65040779
0.00,41,31.76126289
0.00,42,22.22694206
0.00,43,25.74954414
0.00,44,26.29393959
0.00,45,17.7519207
0.00,46,26.45867348
0.00,47,15.79131031
0.00,48,25.26979828
0.00,49,23.5687027
0.00,50,24.85836983
0.00,51,25.14265442
0.00,52,49.08925247
0.00,53,26.40689659
0.00,54,18.77371407
0.00,55,28.5294838
0.00,56,41.82458496
0.00,57,20.30370712
0.00,58,16.93292046
0.00,59,24.19909668
0.00,60,30.7603054
0.00,61,37.83138275
0.00,62,31.5815506
0.00,63,34.11299133
0.00,64,18.42182922
0.00,65,31.90736961
0.00,66,31.25958633
0.00,67,48.74729156
0.00,68,21.30018616
0.00,69,45.824646
0.00,70,26.5468998
0.00,71,28.80812454
0.00,72,39.78467941
0.00,73,32.20835114
0.00,74,30.45583916
0.00,75,51.94034958
0.00,76,51.37611771
0.00,77,25.73038864
0.00,78,25.32341003
0.00,79,24.35804367
0.00,80,22.62401581
0.00,81,24.27820396
0.00,82,19.016922
0.00,83,42.85676575
0.00,84,21.97869301
0.00,85,24.52632713
0.00,86,52.27780914
0.00,87,23.47815514
0.00,88,29.31047058
0.00,89,25.43284035
0.00,90,41.07260513
0.00,91,22.64826202
0.00,92,38.45056915
0.00,93,24.5771637
0.00,94,33.6920929
0.00,95,19.95713043
0.00,96,26.39245415
0.00,97,21.09308052
0.00,98,25.21665382
0.00,99,23.98966599
0.00,100,23.14959717
0.00,101,23.46823311
0.00,102,25.1399498
0.00,103,19.66811752
0.00,104,33.94704056
0.00,105,27.5861454
0.00,106,27.14413452
0.00,107,17.39082909
0.00,108,18.84054565
0.00,109,16.30429459
0.00,110,18.76656914
0.00,111,36.23593903
0.00,112,29.58329201
0.00,113,24.24688721
0.00,114,31.42937469
0.00,115,18.56202698
0.00,116,24.82203865
0.00,117,29.09638977
0.00,118,17.26390648
0.00,119,15.22958851
0.00,120,23.11814499
0.00,121,22.87857246
0.00,122,16.13508224
0.00,123,18.51560211
0.00,124,21.30317688
0.00,125,21.42553902
0.00,126,22.94378281
0.00,127,20.72485542
0.00,128,28.20148277
0.00,129,15.33681202
0.00,130,18.68790817
0.00,131,22.85202408
0.00,132,15.91947842
0.00,133,22.72800827
0.00,134,20.42076111
0.00,135,22.8828373
0.00,136,23.17870522
0.00,137,21.30150795
0.00,138,23.28189278
0.00,139,24.53321838
0.00,140,28.67420006
0.00,141,34.42930222
0.00,142,35.8856926
0.00,143,36.51248932
0.00,144,39.39714813
0.00,145,29.42740059
0.00,146,42.76383972
0.00,147,22.86719513
0.00,148,45.05898666
0.00,149,25.33800125
0.00,150,30.66557312
0.00,151,34.21680832
0.00,152,26.81133842
0.00,153,25.62342453
0.00,154,39.2660141
0.00,155,33.0867424
0.00,156,25.26319313
0.00,157,28.73276901
0.00,158,29.8716774
0.00,159,38.64390564
0.00,160,32.40932465
0.00,161,48.32499313
0.00,162,53.02591705
0.00,163,44.01556396
0.00,164,52.68173218
0.00,165,32.99108505
0.00,166,44.44505692
0.00,167,33.85338974
0.00,168,72.25915527
0.00,169,67.53401184
0.00,170,84.27857208
0.00,171,34.30653763
0.00,172,48.18077469
0.00,173,45.05139542
0.00,174,26.90846062
0.00,175,85.82617188
0.00,176,64.34689331
0.00,177,66.99810028
0.00,178,48.71976089
0.00,179,54.31388855
0.00,180,64.5631485
0.00,181,65.75167847
0.00,182,46.79841614
0.00,183,51.98694229
0.00,184,57.73340988
0.00,185,58.87312317
0.00,186,58.72083282
0.00,187,46.06088638
0.00,188,57.17993164
0.00,189,89.97351074
0.00,190,61.25860977
0.00,191,75.76476288
0.00,192,47.72094727
0.00,193,77.64601898
0.00,194,71.32408142
0.00,195,63.78424072
0.00,196,58.69434357
0.00,197,75.57804871
0.00,198,53.68876648
0.00,199,53.34194946
0.00,200,87.38034058
0.00,201,72.82641602
0.00,202,54.04244995
0.00,203,45.56993866
0.00,204,61.27095795
0.00,205,65.1986618
0.00,206,75.31430817
0.00,207,57.90111923
0.00,208,49.56531525
0.00,209,55.4243927
0.00,210,40.90667725
0.00,211,97.5317688
0.00,212,47.78692627
0.00,213,72.88671875
0.00,214,59.38508606
0.00,215,52.45954514
0.00,216,71.22291565
0.00,217,69.53583527
0.00,218,60.09405136
0.00,219,75.60221863
0.00,220,62.88340759
0.00,221,54.36860275
0.00,222,69.67375183
0.00,223,77.39597321
0.00,224,79.34139252
0.00,225,105.7141266
0.00,226,44.75587845
0.00,227,61.73591232
0.00,228,108.7621613
0.00,229,52.44766235
0.00,230,48.72759628
0.00,231,70.67923737
0.00,232,52.47911453
0.00,233,67.23583984
0.00,234,79.67960358
0.00,235,52.68284225
0.00,236,71.08889008
0.00,237,54.39973068
0.00,238,65.92799377
0.00,239,58.59752274
0.00,240,56.4148941
0.00,241,76.76350403
0.00,242,45.87734222
0.00,243,57.2968483
0.00,244,72.18321991
0.00,245,50.58031845
0.00,246,75.841362
0.00,247,52.06847763
0.00,248,64.27226257
0.00,249,74.69602966
0.00,250,69.44409943
0.00,251,69.7693634
0.00,252,69.4538269
0.00,253,60.25311661
0.00,254,65.88178253
0.00,255,61.73764038
0.00,256,87.32833862
0.00,257,58.72995758
0.00,258,68.98127747
0.00,259,61.13274002
0.00,260,67.6624527
0.00,261,61.2877388
0.00,262,64.3075943
0.00,263,60.97524643
0.00,264,71.65427399
0.00,265,60.42734909
0.00,266,47.52977753
0.00,267,65.85827637
0.00,268,72.28266907
0.00,269,62.05710602
0.00,270,57.58339691
0.00,271,62.7714386
0.00,272,62.54195786
0.00,273,69.71939087
0.00,274,64.04924011
0.00,275,65.42513275
0.00,276,54.00669098
0.00,277,47.92150497
0.00,278,80.12149811
0.00,279,78.08577728
0.00,280,69.16008759
0.00,281,64.05614471
0.00,282,89.08161926
0.00,283,57.96300125
0.00,284,64.19242859
0.00,285,67.23568726
0.00,286,59.10100937
0.00,287,52.89432526
0.00,288,70.59820557
0.00,289,69.50865173
0.00,290,68.3266449
0.00,291,79.07636261
0.00,292,74.05397797
0.00,293,69.06376648
0.00,294,69.17677307
0.00,295,71.29719543
0.00,296,70.58660889
0.00,297,70.8662262
0.00,298,71.92443848
0.00,299,79.88121796
0.00,300,70.72705078
0.95,1,10.10312366
0.95,2,9.995249748
0.95,3,12.32794666
0.95,4,11.76869202
0.95,5,17.76922226
0.95,6,12.18669891
0.95,7,14.50421143
0.95,8,18.10938454
0.95,9,26.22283745
0.95,10,23.23020744
0.95,11,35.11604691
0.95,12,33.0795784
0.95,13,20.01647568
0.95,14,28.19357872
0.95,15,32.24739456
0.95,16,42.46554184
0.95,17,40.40207672
0.95,18,57.46970367
0.95,19,84.20406342
0.95,20,38.89310837
0.95,21,100.5125885
0.95,22,121.804245
0.95,23,57.3427124
0.95,24,52.01597214
0.95,25,68.77902222
0.95,26,70.80220032
0.95,27,90.87923431
0.95,28,106.8173752
0.95,29,105.8895798
0.95,30,124.5424271
0.95,31,70.83313751
0.95,32,102.1302643
0.95,33,106.6177902
0.95,34,95.46340179
0.95,35,111.8277206
0.95,36,143.8501282
0.95,37,110.1645432
0.95,38,92.68643951
0.95,39,105.3082123
0.95,40,102.3700485
0.95,41,132.399292
0.95,42,116.7777481
0.95,43,128.4330444
0.95,44,142.2944794
0.95,45,111.7381821
0.95,46,132.631424
0.95,47,120.2271805
0.95,48,126.0498428
0.95,49,160.1829681
0.95,50,166.3630829
0.95,51,151.1121368
0.95,52,170.8575745
0.95,53,138.569458
0.95,54,180.4532013
0.95,55,164.6792603
0.95,56,133.0159607
0.95,57,202.5940704
0.95,58,175.053894
0.95,59,160.769577
0.95,60,201.6560211
0.95,61,191.2683258
0.95,62,186.9726715
0.95,63,174.3380432
0.95,64,184.5524597
0.95,65,185.8596954
0.95,66,166.4333038
0.95,67,148.3331451
0.95,68,184.9970703
0.95,69,173.7416534
0.95,70,174.4026794
0.95,71,171.2708893
0.95,72,191.861618
0.95,73,153.9219666
0.95,74,165.9855042
0.95,75,183.4356995
0.95,76,183.2040253
0.95,77,174.3236847
0.95,78,166.4359283
0.95,79,181.2269135
0.95,80,161.5655975
0.95,81,162.0939178
0.95,82,178.4693298
0.95,83,171.2001648
0.95,84,164.9304199
0.95,85,181.3085022
0.95,86,187.5849915
0.95,87,180.7953186
0.95,88,164.5805206
0.95,89,190.19104
0.95,90,196.3029938
0.95,91,195.2707672
0.95,92,193.3851624
0.95,93,170.4449005
0.95,94,158.5908813
0.95,95,137.9977875
0.95,96,187.5486755
0.95,97,188.3154755
0.95,98,189.9605255
0.95,99,185.5490265
0.95,100,193.1441193
0.95,101,174.2249603
0.95,102,181.7736511
0.95,103,184.7789612
0.95,104,182.6345825
0.95,105,167.0652466
0.95,106,190.8924713
0.95,107,156.115921
0.95,108,183.0123596
0.95,109,179.6294403
0.95,110,153.1316528
0.95,111,174.7854462
0.95,112,184.539505
0.95,113,188.4845734
0.95,114,188.4581451
0.95,115,185.031601
0.95,116,179.5101166
0.95,117,188.9988098
0.95,118,166.3907623
0.95,119,183.480484
0.95,120,175.5232391
0.95,121,187.6572266
0.95,122,166.2646637
0.95,123,184.2939453
0.95,124,184.5718079
0.95,125,186.0404053
0.95,126,192.6316681
0.95,127,179.9895325
0.95,128,180.4071198
0.95,129,169.855957
0.95,130,180.6059265
0.95,131,184.2694855
0.95,132,193.453949
0.95,133,176.9907684
0.95,134,161.2714844
0.95,135,184.8645172
0.95,136,149.0941772
0.95,137,183.5302277
0.95,138,171.2197571
0.95,139,193.4617615
0.95,140,192.0729523
0.95,141,182.4655762
0.95,142,198.9708252
0.95,143,197.3393555
0.95,144,167.1004028
0.95,145,196.2372437
0.95,146,194.4671021
0.95,147,184.9838562
0.95,148,173.0758362
0.95,149,185.8869781
0.95,150,187.87323
0.95,151,186.5859833
0.95,152,185.8745575
0.95,153,191.5403595
0.95,154,200.7973328
0.95,155,166.3436584
0.95,156,203.1866913
0.95,157,184.7917023
0.95,158,198.2096558
0.95,159,191.9470673
0.95,160,200.433548
0.95,161,188.8288422
0.95,162,198.2489319
0.95,163,190.3885803
0.95,164,159.6915588
0.95,165,178.876297
0.95,166,179.4044952
0.95,167,194.6589661
0.95,168,185.9606476
0.95,169,186.3877411
0.95,170,202.715744
0.95,171,186.330368
0.95,172,194.508255
0.95,173,196.4754333
0.95,174,194.6995392
0.95,175,194.9606171
0.95,176,186.6033936
0.95,177,167.6208801
0.95,178,197.9899139
0.95,179,194.1831055
0.95,180,203.2891693
0.95,181,207.0174866
0.95,182,187.3527069
0.95,183,200.0484161
0.95,184,188.7914734
0.95,185,187.141922
0.95,186,206.9608002
0.95,187,193.6116028
