Wall time,Step,Value
1664825177.744913,60001,433.5
1664825831.9196649,160001,529.5
1664825898.0072346,170001,540.0999755859375
1664826094.5938425,200001,545.0
1664826617.2627256,280001,615.7999877929688
1664826682.9299202,290001,706.2999877929688
1664827529.5384347,420001,824.9000244140625
1664827985.8163362,490001,839.0
1664828051.9198112,500001,856.7000122070312
1664828117.514788,510001,883.2000122070312
1664828971.5895178,640001,1101.5999755859375
1664829037.272844,650001,1175.300048828125
1664829299.0502598,690001,1276.800048828125
1664829493.6918223,720001,1286.5999755859375
1664829559.2395184,730001,1350.199951171875
1664829951.0273836,790001,1350.199951171875
1664830278.3254228,840001,1382.199951171875
1664830740.242365,910001,1566.300048828125
1664831402.565881,1010001,1640.300048828125
1664831666.9899552,1050001,1640.300048828125
1664831930.3860304,1090001,1640.300048828125
1664832847.087875,1230001,1702.9000244140625
1664833109.1094728,1270001,1702.9000244140625
1664833174.4610434,1280001,1702.9000244140625
1664833305.28807,1300001,1725.0
1664833437.7743452,1320001,1734.300048828125
1664833832.9058158,1380001,1734.300048828125
1664834355.943393,1460001,1734.300048828125
1664834486.4053893,1480001,1734.300048828125
1664834551.4093106,1490001,1734.300048828125
1664834746.1086328,1520001,1734.300048828125
1664835202.5278828,1590001,1795.4000244140625
1664835396.219798,1620001,1795.4000244140625
1664835525.6474445,1640001,1795.4000244140625
1664835654.5393739,1660001,1795.4000244140625
1664836171.8050077,1740001,1795.4000244140625
1664836493.2297769,1790001,1795.4000244140625
1664836946.4281304,1860001,1795.4000244140625
1664837399.447448,1930001,1795.4000244140625
1664837463.4498367,1940001,1795.4000244140625
1664838160.595319,2050001,1795.4000244140625
1664838286.3574483,2070001,1795.4000244140625
1664838792.0049982,2150001,1795.4000244140625
1664839814.5774882,2310001,1795.4000244140625
1664840774.2349257,2460001,1795.4000244140625
1664840839.0887234,2470001,1795.4000244140625
1664841670.78132,2600001,1795.4000244140625
1664841735.256872,2610001,1795.4000244140625
1664842508.8962798,2730001,1795.4000244140625
1664842710.2604828,2760001,1795.4000244140625
1664843225.1363318,2840001,1795.4000244140625
1664843418.4764824,2870001,1795.4000244140625
1664843611.745911,2900001,1795.4000244140625
1664843741.5490787,2920001,1795.4000244140625
1664844075.5482817,2970001,1795.4000244140625
1664844204.2623885,2990001,1795.4000244140625
1664844919.4236338,3100001,1795.4000244140625
1664845178.8518214,3140001,1795.4000244140625
1664845438.1218967,3180001,1795.4000244140625
1664845568.7095757,3200001,1795.4000244140625
1664845633.52424,3210001,1795.4000244140625
1664845826.9730115,3240001,1795.4000244140625
1664847318.0567498,3470001,1795.4000244140625
1664847382.9940414,3480001,1795.4000244140625
1664848157.0946,3600001,1795.4000244140625
1664848520.6273706,3660001,1795.4000244140625
1664848584.0733438,3670001,1795.4000244140625
1664848645.0162532,3680001,1795.4000244140625
1664849382.9259958,3800001,1801.199951171875
1664849870.8408964,3880001,1801.199951171875
1664850143.1456172,3920001,1801.199951171875
1664850274.3686717,3940001,1801.199951171875
1664850602.9018533,3990001,1801.199951171875
1664850902.5671184,4040001,1801.199951171875
1664851028.7265222,4060001,1801.199951171875
1664851703.6793635,4170001,1801.199951171875
1664852072.3281662,4230001,1801.199951171875
1664852132.3066466,4240001,1801.199951171875
1664853031.799666,4380001,1801.199951171875
1664853096.8053946,4390001,1801.199951171875
1664853225.8369691,4410001,1801.199951171875
1664853681.9517915,4480001,1801.199951171875
1664854068.8769274,4540001,1801.199951171875
1664854327.1121705,4580001,1801.199951171875
1664854653.3310049,4630001,1801.199951171875
1664854912.807806,4670001,1801.199951171875
1664855106.689082,4700001,1801.199951171875
1664855237.2823925,4720001,1801.199951171875
1664855496.5305524,4760001,1801.199951171875
1664855561.6826496,4770001,1801.199951171875
1664855885.6981108,4820001,1801.199951171875
1664855949.8007338,4830001,1801.199951171875
1664856339.2915292,4890001,1801.199951171875
1664857858.5785556,5120001,1849.0
1664857999.7187655,5140001,1849.0
1664858068.5314505,5150001,1849.0
1664858133.7906787,5160001,1849.0
1664858325.8475902,5190001,1849.0
1664858455.5470328,5210001,1849.0
1664859365.3405397,5350001,1849.0
1664859430.5874286,5360001,1849.0
1664859558.2750316,5380001,1849.0
1664859729.6685627,5400001,1849.0
1664859929.2447324,5420001,1849.0
1664860272.8026876,5460001,1849.0
1664860400.2075002,5480001,1849.0
1664860657.344351,5520001,1849.0
1664860796.3714795,5540001,1849.0
1664861059.852338,5580001,1849.0
1664861414.7946997,5640001,1849.0
1664861534.9818234,5660001,1849.0
1664861802.072783,5700001,1849.0
1664862867.3215334,5860001,1849.0
1664863251.9860165,5920001,1849.0
1664863508.1227922,5960001,1849.0
1664863638.409195,5980001,1849.0
1664864747.646173,6150001,1849.0
1664864814.8600614,6160001,1849.0
1664865343.4726164,6240001,1849.0
1664865410.4904957,6250001,1849.0
1664865739.2327306,6300001,1849.0
1664865803.6433957,6310001,1849.0
1664866318.5033615,6390001,1849.0
1664866707.7497644,6450001,1849.0
1664866773.627559,6460001,1849.0
1664867096.0283995,6510001,1849.0
1664867677.387764,6600001,1849.0
1664867806.5141332,6620001,1849.0
1664868263.8089468,6690001,1849.0
1664868735.4714675,6770001,1849.0
1664868792.845369,6780001,1849.0
1664869272.051369,6860001,1849.0
1664869774.3704612,6940001,1849.0
1664869892.4453354,6960001,1849.0
1664870872.7943933,7120001,1849.0
1664871603.252952,7230001,1849.0
1664871725.398575,7250001,1849.0
1664871846.1337514,7270001,1849.0
1664872027.756182,7300001,1849.0
1664872086.6963644,7310001,1849.0
1664872214.062848,7330001,1849.0
1664872273.1415946,7340001,1849.0
1664872334.3538332,7350001,1849.0
1664873021.197549,7460001,1849.0
1664874236.2415211,7660001,1849.0
1664874901.1469643,7770001,1849.0
1664874959.9484103,7780001,1849.0
1664875208.3069098,7820001,1849.0
1664875332.6361027,7840001,1849.0
1664875681.3042166,7900001,1855.5
1664876644.1807802,8060001,1896.300048828125
1664876702.1173663,8070001,1896.300048828125
1664876821.1081176,8090001,1896.300048828125
1664877000.2831442,8120001,1920.5999755859375
1664877532.422262,8210001,1920.5999755859375
1664878306.040076,8340001,1920.5999755859375
1664878781.2530484,8420001,1920.5999755859375
1664878964.839683,8450001,1920.5999755859375
1664879792.1230414,8590001,1920.5999755859375
1664880097.820496,8640001,1920.5999755859375
1664880331.7575796,8680001,1920.5999755859375
1664880628.3762681,8730001,1920.5999755859375
1664881424.1638665,8860001,1920.5999755859375
1664881542.7128277,8880001,1920.5999755859375
1664882079.3323274,8970001,1920.5999755859375
1664882199.472244,8990001,1920.5999755859375
1664882441.9679651,9030001,1920.5999755859375
1664882884.5172133,9100001,1920.5999755859375
1664884208.5098355,9320001,1920.5999755859375
1664884323.8419125,9340001,1920.5999755859375
1664884914.9107838,9440001,1920.5999755859375
1664885332.9522216,9510001,1920.5999755859375
1664886166.7166622,9650001,1920.5999755859375
1664887113.9415505,9810001,1920.5999755859375
1664887292.9888408,9840001,1920.5999755859375
1664887898.7671146,9940001,1920.5999755859375
1664888030.4894326,9960001,1920.5999755859375
1664888353.7101903,10010001,1920.5999755859375
1664888548.1961315,10040001,1920.5999755859375
1664888676.0018454,10060001,1920.5999755859375
1664889385.055971,10170001,1920.5999755859375
1664889835.142141,10240001,1920.5999755859375
1664890090.9639628,10280001,1920.5999755859375
1664890219.8526754,10300001,1920.5999755859375
1664890799.766277,10390001,1965.199951171875
1664892019.1537454,10580001,1965.199951171875
1664892928.4049957,10720001,1965.199951171875
1664892993.1757474,10730001,1965.199951171875
1664893121.46255,10750001,1965.199951171875
1664893388.4135523,10790001,1965.199951171875
1664893947.055507,10880001,1965.199951171875
1664894730.516374,11000001,1965.199951171875
1664894995.625612,11040001,1965.199951171875
1664895124.7830122,11060001,1965.199951171875
1664895319.7033453,11090001,1965.199951171875
1664895447.610801,11110001,1965.199951171875
1664895576.5592701,11130001,1996.300048828125
1664896227.249313,11230001,2003.199951171875
1664896471.7010753,11270001,2003.199951171875
1664896529.5502646,11280001,2003.199951171875
1664896911.147428,11340001,2052.199951171875
1664897042.470775,11360001,2052.199951171875
1664897370.1513178,11410001,2052.199951171875
1664897824.871466,11480001,2052.199951171875
1664898149.4769845,11530001,2052.199951171875
