Wall time,Step,Value
1664787301.7026155,10001,-219.7863311767578
1664787336.3375604,20001,-130.8994903564453
1664787372.0179632,30001,-37.91632080078125
1664787409.2179942,40001,4.20725679397583
1664787447.2994475,50001,2.6442911624908447
1664787485.7729557,60001,13.311662673950195
1664787524.305896,70001,17.57964324951172
1664787562.8445354,80001,21.76919174194336
1664787601.6705945,90001,35.9626350402832
1664787640.2189994,100001,45.89936065673828
1664787678.9772134,110001,45.27828598022461
1664787717.4182794,120001,51.832374572753906
1664787756.0436814,130001,54.08964538574219
1664787794.5772874,140001,53.56999969482422
1664787833.1710327,150001,62.099178314208984
1664787871.6968327,160001,69.61865997314453
1664787910.672507,170001,71.64103698730469
1664787949.6031332,180001,69.87261199951172
1664787988.6874168,190001,67.93377685546875
1664788028.110078,200001,71.62887573242188
1664788067.0153944,210001,74.2996826171875
1664788106.2515576,220001,80.01986694335938
1664788146.283064,230001,65.63928985595703
1664788185.8164117,240001,76.01892852783203
1664788224.945431,250001,67.91055297851562
1664788263.865444,260001,69.78765869140625
1664788302.4681668,270001,84.27102661132812
1664788341.361642,280001,101.32634735107422
1664788379.8511975,290001,100.87001037597656
1664788418.8800216,300001,106.51972961425781
1664788457.5840583,310001,101.23670196533203
1664788496.4325502,320001,82.86601257324219
1664788535.166306,330001,87.35399627685547
1664788573.9383924,340001,96.89662170410156
1664788612.8435886,350001,81.24626922607422
1664788651.8936696,360001,77.447021484375
1664788690.8027976,370001,86.07012939453125
1664788729.955985,380001,91.35029602050781
1664788768.9668088,390001,90.82564544677734
1664788807.967625,400001,90.12049865722656
1664788847.0433187,410001,84.21356201171875
1664788886.1542668,420001,76.07955169677734
1664788925.1262856,430001,80.29700469970703
1664788964.2355564,440001,103.44441223144531
1664789003.2586548,450001,105.40656280517578
1664789041.608403,460001,106.26947021484375
1664789079.967048,470001,100.19573974609375
1664789118.1733847,480001,79.99710083007812
1664789156.351978,490001,63.10613250732422
