Wall time,Step,Value
1669030783.1400397,1,-150.0
1669030787.4694176,1001,-150.0
1669030791.9929297,2001,-150.0
1669030808.0456269,3001,-150.0
1669030823.8395715,4001,-150.0
1669030839.2602952,5001,-150.0
1669030856.7657857,6001,-150.0
1669030874.361648,7001,-150.0
1669030891.805961,8001,-150.0
1669030909.236227,9001,-150.0
1669030926.894286,10001,-150.0
1669030944.2599945,11001,-137.5
1669030961.47876,12001,-150.0
1669030978.5731418,13001,-150.0
1669030996.1518536,14001,-150.0
1669031013.3924506,15001,-150.0
1669031030.6968741,16001,-150.0
1669031048.0132873,17001,-150.0
1669031065.3522599,18001,-150.0
1669031082.29514,19001,-150.0
1669031099.6841474,20001,-142.125
1669031116.8053951,21001,-150.0
1669031133.4044218,22001,-150.0
1669031150.1263292,23001,-150.0
1669031167.0312638,24001,-150.0
1669031183.9533572,25001,-150.0
1669031201.280895,26001,-150.0
1669031218.4971392,27001,-150.0
1669031235.5144536,28001,-150.0
1669031252.9321582,29001,-133.5
1669031270.2276158,30001,-150.0
1669031287.3952491,31001,-150.0
1669031304.681122,32001,-150.0
1669031321.7994406,33001,-150.0
1669031338.366925,34001,-150.0
1669031355.2813637,35001,-150.0
1669031371.992287,36001,-148.7142791748047
1669031389.029455,37001,-150.0
1669031406.1272151,38001,-136.5
1669031423.1453557,39001,-150.0
1669031440.0599008,40001,-136.875
1669031457.37274,41001,-127.375
1669031474.776225,42001,-150.0
1669031492.342864,43001,-143.125
1669031509.4787598,44001,-150.0
1669031526.549086,45001,-150.0
1669031543.7965124,46001,-150.0
1669031560.9585924,47001,-150.0
1669031578.665823,48001,-150.0
1669031596.2894213,49001,-150.0
