Wall time,Step,Value
1669030783.0445974,1,-150.0
1669030787.3687747,1001,-150.0
1669030791.746536,2001,-150.0
1669030807.4219549,3001,-150.0
1669030823.150549,4001,-138.75
1669030838.6726413,5001,-138.75
1669030856.0331812,6001,-150.0
1669030873.698897,7001,-128.875
1669030891.041541,8001,-150.0
1669030908.4247777,9001,-150.0
1669030925.8354962,10001,-150.0
1669030943.5867636,11001,-137.75
1669030960.9801414,12001,-150.0
1669030978.6988597,13001,-150.0
1669030996.4780426,14001,-120.66666412353516
1669031013.7481136,15001,-150.0
1669031031.343113,16001,-118.44444274902344
1669031048.6380427,17001,-150.0
1669031065.8061168,18001,-144.14285278320312
1669031082.8958414,19001,-150.0
1669031100.1382334,20001,-144.85714721679688
1669031117.5521631,21001,-135.875
1669031134.810806,22001,-118.77777862548828
1669031152.0137672,23001,-120.44444274902344
1669031169.145071,24001,-146.14285278320312
1669031186.2833967,25001,-150.0
1669031203.6503115,26001,-97.90908813476562
1669031221.2465286,27001,-99.69999694824219
1669031238.5842073,28001,-116.55555725097656
1669031256.2122443,29001,-136.5
1669031273.672329,30001,-126.25
1669031291.0378804,31001,-130.0
1669031308.5717134,32001,-138.375
1669031326.2038536,33001,-140.875
1669031343.7456214,34001,-142.625
1669031361.4537542,35001,-103.5999984741211
1669031378.8984177,36001,-150.0
1669031395.9307363,37001,-146.85714721679688
1669031413.164432,38001,-92.90908813476562
1669031430.4030752,39001,-99.54545593261719
1669031447.3696203,40001,-142.85714721679688
1669031464.1482272,41001,-134.25
1669031481.0547607,42001,-144.2857208251953
1669031498.3604236,43001,-129.375
1669031516.216233,44001,-125.33333587646484
1669031533.646446,45001,-150.0
1669031551.4100409,46001,-130.125
1669031569.6479354,47001,-112.4000015258789
1669031587.578949,48001,-117.77777862548828
1669031605.3832097,49001,-130.75
