Wall time,Step,Value
1669030783.0364742,1,-150.0
1669030787.2394063,1001,-150.0
1669030791.5987806,2001,-150.0
1669030807.5673974,3001,-150.0
1669030823.2245011,4001,-150.0
1669030838.597086,5001,-150.0
1669030855.647673,6001,-150.0
1669030872.9843822,7001,-150.0
1669030890.3324206,8001,-150.0
1669030907.6038516,9001,-150.0
1669030924.9256277,10001,-143.85714721679688
1669030942.452236,11001,-150.0
1669030959.7276435,12001,-150.0
1669030976.989883,13001,-150.0
1669030994.5218284,14001,-127.5
1669031011.9506278,15001,-123.77777862548828
1669031029.4039917,16001,-116.33333587646484
1669031046.7179601,17001,-136.125
1669031064.069483,18001,-83.66666412353516
1669031081.4951596,19001,-95.36363983154297
1669031098.7686124,20001,-97.45454406738281
1669031115.7170303,21001,-111.88888549804688
1669031133.0748105,22001,-85.33333587646484
1669031150.381346,23001,-104.0999984741211
1669031167.7091286,24001,-110.88888549804688
1669031184.8080835,25001,-94.18181610107422
1669031202.5732112,26001,-84.76923370361328
1669031219.8917286,27001,-117.88888549804688
1669031237.2776914,28001,-119.33333587646484
1669031255.0386598,29001,-130.375
1669031272.428002,30001,-120.66666412353516
1669031290.054907,31001,-84.25
1669031308.2809842,32001,-49.79999923706055
1669031326.640843,33001,-61.588233947753906
1669031345.040771,34001,-47.380950927734375
1669031363.463305,35001,-56.27777862548828
1669031382.6699429,36001,-40.79999923706055
1669031401.2642372,37001,-45.181819915771484
1669031420.3486736,38001,-36.74074172973633
1669031439.712533,39001,-30.515151977539062
1669031458.9634151,40001,-31.21875
1669031478.014815,41001,-36.11111068725586
1669031496.203569,42001,-61.235294342041016
1669031515.4689279,43001,-34.72413635253906
1669031535.4647264,44001,-27.44444465637207
1669031555.0895605,45001,-28.558822631835938
1669031573.8513136,46001,-45.08695602416992
1669031592.7698953,47001,-44.818180084228516
1669031612.3860426,48001,-35.92856979370117
1669031629.4471915,49001,-51.70000076293945
