Wall time,Step,Value
1669030783.09236,1,-150.0
1669030787.456613,1001,-150.0
1669030791.87668,2001,-150.0
1669030807.7565084,3001,-150.0
1669030823.7215185,4001,-150.0
1669030839.1100597,5001,-150.0
1669030856.5291014,6001,-150.0
1669030873.9410686,7001,-150.0
1669030891.3347068,8001,-150.0
1669030908.5984643,9001,-150.0
1669030926.3031304,10001,-150.0
1669030943.7266135,11001,-150.0
1669030960.751698,12001,-150.0
1669030978.2714376,13001,-150.0
1669030995.6457577,14001,-150.0
1669031013.34462,15001,-74.57142639160156
1669031031.0534484,16001,-71.42857360839844
1669031049.9638567,17001,-40.52000045776367
1669031067.969721,18001,-61.70588302612305
1669031085.8589704,19001,-55.0
1669031104.130093,20001,-42.0
1669031122.6462438,21001,-42.33333206176758
1669031141.192214,22001,-43.956520080566406
1669031160.1026835,23001,-33.29999923706055
1669031178.7332966,24001,-42.54166793823242
1669031197.0385323,25001,-42.956520080566406
1669031214.676826,26001,-67.26667022705078
1669031232.9971647,27001,-39.15999984741211
1669031251.0352442,28001,-55.22222137451172
1669031270.0409808,29001,-36.07143020629883
1669031287.9948735,30001,-61.8125
1669031306.4542067,31001,-45.5
1669031325.020847,32001,-37.57692337036133
1669031344.1776857,33001,-31.29032325744629
1669031363.381233,34001,-35.57143020629883
1669031381.503587,35001,-68.33333587646484
1669031399.842029,36001,-45.65217208862305
1669031418.8085902,37001,-36.66666793823242
1669031437.8332675,38001,-35.21428680419922
1669031457.473993,39001,-27.30555534362793
1669031477.0270677,40001,-30.6875
1669031496.4975047,41001,-31.677419662475586
1669031515.3860953,42001,-39.346153259277344
1669031534.093696,43001,-45.272727966308594
1669031553.6759388,44001,-32.70000076293945
1669031572.407577,45001,-45.09090805053711
1669031591.2874677,46001,-39.560001373291016
1669031610.316939,47001,-42.91304397583008
1669031628.193208,48001,-31.483871459960938
1669031643.3947914,49001,-77.07691955566406
